id,severity,category,tag,file,line,title,detail,recommendation,confidence
O-02,ACCURACY,oob,AFG,history\units\AFG_2026_nonnsb.txt,129,Division '5. Loy Taliban' stationed in TAL (state 410),state file 410-Bactria.txt,Move the unit to a home (or intentionally allied) state.,high
O-02,ACCURACY,oob,AFG,history\units\AFG_2026_nonnsb.txt,136,Division '5. Da Taliban Miliishiya' stationed in TAL (state 410),state file 410-Bactria.txt,Move the unit to a home (or intentionally allied) state.,high
O-02,ACCURACY,oob,AFG,history\units\AFG_2026_nsb.txt,126,Division '5. Loy Taliban' stationed in TAL (state 410),state file 410-Bactria.txt,Move the unit to a home (or intentionally allied) state.,high
O-02,ACCURACY,oob,AFG,history\units\AFG_2026_nsb.txt,133,Division '5. Da Taliban Miliishiya' stationed in TAL (state 410),state file 410-Bactria.txt,Move the unit to a home (or intentionally allied) state.,high
O-02,ACCURACY,oob,GER,history\units\GER_2026_nonnsb.txt,153,Division 'Panzerbrigade 42 (Lithuania)' stationed in SOV (state 642),state file 642-Kaliningrad.txt,Move the unit to a home (or intentionally allied) state.,high
O-02,ACCURACY,oob,GER,history\units\GER_2026_nsb.txt,150,Division 'Panzerbrigade 42 (Lithuania)' stationed in SOV (state 642),state file 642-Kaliningrad.txt,Move the unit to a home (or intentionally allied) state.,high
O-03,ACCURACY,oob,IND,history\units\IND_2026_nonnsb.txt,241,naval_base 4306 has no naval base building in the state file,,,high
O-03,ACCURACY,oob,IND,history\units\IND_2026_nsb.txt,238,naval_base 4306 has no naval base building in the state file,,,high
O-02,ACCURACY,oob,SOV,history\units\SOV_2026_nonnsb.txt,304,Division '5th Combined Arms Army' stationed in CHI (state 578),state file 578-Yunnan.txt,Move the unit to a home (or intentionally allied) state.,high
O-02,ACCURACY,oob,SOV,history\units\SOV_2026_nonnsb.txt,311,Division '35th Combined Arms Army' stationed in CHI (state 578),state file 578-Yunnan.txt,Move the unit to a home (or intentionally allied) state.,high
